section,course_code,units,division,requirement_status,requirement_bucket,satisfies_pools,requires_cse101,can_satisfy_capstone,can_satisfy_dc,is_mandatory_for_major,notes,prerequisites,corequisites,requirements_raw
Math — Linear Algebra (Choice Group),MATH 21,5,Lower Division,CHOICE,MATH_LINEAR_ALG,REQ_MATH,False,False,False,False,Linear algebra: choose AM 10 OR MATH 21,score of 400 or higher on the mathematics placement examination (MPE) or MATH 3 or AM 11A or MATH 11A or MATH 19A or MATH 20A . General Education Code MF,,Prerequisite(s): score of 400 or higher on the mathematics placement examination (MPE) or MATH 3 or AM 11A or MATH 11A or MATH 19A or MATH 20A . General Education Code MF
Upper Division Core (Choice Group),CSE 101,5,Upper Division,CHOICE,UD_CORE_ALGORITHMS,UD_CORE,False,False,False,False,Choose ONE: CSE 101 or CSE 101P,CSE 12 or BME 160 ; CSE 13E or ECE 13 or CSE 13S ; and CSE 16 ; and CSE 30 ; and MATH 11B or MATH 19B or MATH 20B or AM 11B or ECON 11B,,Prerequisite(s): CSE 12 or BME 160 ; CSE 13E or ECE 13 or CSE 13S ; and CSE 16 ; and CSE 30 ; and MATH 11B or MATH 19B or MATH 20B or AM 11B or ECON 11B.
Upper Division Core (Choice Group),CSE 101P,5,Upper Division,CHOICE,UD_CORE_ALGORITHMS,UD_CORE,False,False,False,False,Choose ONE: CSE 101 or CSE 101P,"CSE 16 ; and BME 160 or CSE 20 or CSE 20 Test Out; and CSE 30 ; and MATH 11B or MATH 19B or MATH 20B or AM 11B . Enrollment is restricted to computer science B.A., and biolmolecular engineering and bioinformatics majors",,"Prerequisite(s): CSE 16 ; and BME 160 or CSE 20 or CSE 20 Test Out; and CSE 30 ; and MATH 11B or MATH 19B or MATH 20B or AM 11B . Enrollment is restricted to computer science B.A., and biolmolecular engineering and bioinformatics majors."
Breadth List A (Pick 3 total across A/B),CSE 101M,5,Upper Division,LIST,BREADTH_A,BREADTH,False,False,False,False,Breadth List A option,CSE 101 or CSE 101P ,,Prerequisite(s): CSE 101 or CSE 101P .
Breadth List A (Pick 3 total across A/B),CSE 102,5,Upper Division,LIST,BREADTH_A,BREADTH,False,False,False,False,Breadth List A option,CSE 101M ,,Prerequisite(s): CSE 101M .
Breadth List A (Pick 3 total across A/B),CSE 103,5,Upper Division,LIST,BREADTH_A,BREADTH,False,False,False,False,Breadth List A option,CSE 101M ,,Prerequisite(s): CSE 101M .
Breadth List A (Pick 3 total across A/B),CSE 112,5,Upper Division,LIST,BREADTH_A,BREADTH,False,False,False,False,Breadth List A option,CSE 101 or CSE 101P ,,Prerequisite(s): CSE 101 or CSE 101P .
Breadth List A (Pick 3 total across A/B),CSE 114A,5,Upper Division,LIST,BREADTH_A,BREADTH,False,False,False,False,Breadth List A option,CSE 101 or CSE 101P ,,Prerequisite(s): CSE 101 or CSE 101P .
Breadth List A (Pick 3 total across A/B),CSE 118,5,Upper Division,LIST,BREADTH_A,BREADTH,False,False,False,False,Breadth List A option,CSE 101 . Enrollment is restricted to juniors and seniors,,Prerequisite(s): CSE 101 . Enrollment is restricted to juniors and seniors.
Breadth List A (Pick 3 total across A/B),CSE 120,5,Upper Division,LIST,BREADTH_A,BREADTH,False,False,False,False,Breadth List A option,"CSE 12 ; and CSE 13E, or CSE 13S , or ECE 13 , or CSE 15 and CSE 15L. CSE 16 recommended",,"Prerequisite(s): CSE 12 ; and CSE 13E, or CSE 13S , or ECE 13 , or CSE 15 and CSE 15L. CSE 16 recommended."
Breadth List A (Pick 3 total across A/B),CSE 140,5,Upper Division,LIST,BREADTH_A,BREADTH,False,False,False,False,Breadth List A option,CSE 101 or CSE 101P ; and CSE 40 or STAT 132 ,,Prerequisite(s): CSE 101 or CSE 101P ; and CSE 40 or STAT 132 .
Breadth List A (Pick 3 total across A/B),CSE 142,5,Upper Division,LIST,BREADTH_A,BREADTH,False,False,False,False,Breadth List A option,"CSE 40 or STAT 132 ; and CSE 101 or CSE 101P ; and AM 30 , or MATH 22 , or MATH 23A ; and STAT 131 or CSE 107 ",,"Prerequisite(s): CSE 40 or STAT 132 ; and CSE 101 or CSE 101P ; and AM 30 , or MATH 22 , or MATH 23A ; and STAT 131 or CSE 107 ."
Breadth List A (Pick 3 total across A/B),CSE 143,5,Upper Division,LIST,BREADTH_A,BREADTH,False,False,False,False,Breadth List A option,"CSE 101 or CSE 101P , and CSE 107 or STAT 131 ; and CSE 40 ",,"Prerequisite(s): CSE 101 or CSE 101P , and CSE 107 or STAT 131 ; and CSE 40 ."
Breadth List A (Pick 3 total across A/B),CSE 144,5,Upper Division,LIST,BREADTH_A,BREADTH,False,False,False,False,Breadth List A option,CSE 40 or STAT 132 ; and CSE 101 or CSE 101P . Enrollment is restricted to juniors and seniors,,Prerequisite(s): CSE 40 or STAT 132 ; and CSE 101 or CSE 101P . Enrollment is restricted to juniors and seniors.
Breadth List A (Pick 3 total across A/B),CSE 150,7,Upper Division,LIST,BREADTH_A,BREADTH,False,False,False,False,Breadth List A option,"CSE 16 and CSE 12 ; and CSE 30 , or CSE 15 and CSE 15L",,"Prerequisite(s): CSE 16 and CSE 12 ; and CSE 30 , or CSE 15 and CSE 15L."
Breadth List A (Pick 3 total across A/B),CSE 183,5,Upper Division,LIST,BREADTH_A,BREADTH,False,False,False,False,Breadth List A option,"CSE 15 and CSE 15L, or CMPM 35 , or CSE 101 . General Education Code PR-E",,"Prerequisite(s): CSE 15 and CSE 15L, or CMPM 35 , or CSE 101 . General Education Code PR-E"
Breadth List A (Pick 3 total across A/B),CSE 184,5,Upper Division,LIST,BREADTH_A,BREADTH,False,False,False,False,Breadth List A option,CSE 101 ,,Prerequisite(s): CSE 101 .
Breadth List B (Pick 3 total across A/B) — Requires CSE 101,CSE 110A,5,Upper Division,LIST,BREADTH_B,BREADTH,True,False,False,False,Breadth List B option (requires CSE 101),CSE 12 and CSE 101 ,,Prerequisite(s): CSE 12 and CSE 101 .
Breadth List B (Pick 3 total across A/B) — Requires CSE 101,CSE 130,5,Upper Division,LIST,BREADTH_B,BREADTH,True,False,False,False,Breadth List B option (requires CSE 101),"CSE 12 ; and CSE 101 , or CSE 15 and CSE 15L; and knowledge of C programming language",,"Prerequisite(s): CSE 12 ; and CSE 101 , or CSE 15 and CSE 15L; and knowledge of C programming language."
Breadth List B (Pick 3 total across A/B) — Requires CSE 101,CSE 132,5,Upper Division,LIST,BREADTH_B,BREADTH,True,False,False,False,Breadth List B option (requires CSE 101),CSE 130 or CSE 131 or permission of instructor. Enrollment restricted to School of Engineering majors,,Prerequisite(s): CSE 130 or CSE 131 or permission of instructor. Enrollment restricted to School of Engineering majors.
Breadth List B (Pick 3 total across A/B) — Requires CSE 101,CSE 134,5,Upper Division,LIST,BREADTH_B,BREADTH,True,False,False,False,Breadth List B option (requires CSE 101),CSE 120 ,,Prerequisite(s): CSE 120 .
Breadth List B (Pick 3 total across A/B) — Requires CSE 101,CSE 138,5,Upper Division,LIST,BREADTH_B,BREADTH,True,False,False,False,Breadth List B option (requires CSE 101),CSE 130 or CSE 131,,Prerequisite(s): CSE 130 or CSE 131.
Breadth List B (Pick 3 total across A/B) — Requires CSE 101,CSE 160,7,Upper Division,LIST,BREADTH_B,BREADTH,True,False,False,False,Breadth List B option (requires CSE 101),CSE 101 and MATH 21 or AM 10 ,,Prerequisite(s): CSE 101 and MATH 21 or AM 10 .
Breadth List B (Pick 3 total across A/B) — Requires CSE 101,CSE 180,5,Upper Division,LIST,BREADTH_B,BREADTH,True,False,False,False,Breadth List B option (requires CSE 101),CSE 101 ,,Prerequisite(s): CSE 101 .
Breadth List B (Pick 3 total across A/B) — Requires CSE 101,CSE 186,5,Upper Division,LIST,BREADTH_B,BREADTH,True,False,False,False,Breadth List B option (requires CSE 101),"CSE 101 or CSE 101P ; and previous or concurrent enrollment in CSE 180 or CSE 182 . Enrollment is restricted to juniors and seniors majoring in computer engineering, computer science, computer game design, and network and digital technology",,"Prerequisite(s): CSE 101 or CSE 101P ; and previous or concurrent enrollment in CSE 180 or CSE 182 . Enrollment is restricted to juniors and seniors majoring in computer engineering, computer science, computer game design, and network and digital technology."
Disciplinary Communication (Pick 1),CSE 115A,5,Upper Division,LIST,DC,DC,False,False,True,False,DC option. DC course cannot also count as an upper-division elective. CSE 195 has additional restrictions.,satisfaction of the Entry Level Writing and Composition requirements and CSE 101 and CSE 130 ,,Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements and CSE 101 and CSE 130 .
Disciplinary Communication (Pick 1),CSE 185E,5,Upper Division,LIST,DC,DC,False,False,True,False,DC option. DC course cannot also count as an upper-division elective. CSE 195 has additional restrictions.,"satisfaction of Entry Level Writing and Composition requirements; and CSE 12 or CSE 15 or CSE 30 or BME 160 or by permission of the instructor. Enrollment is restricted to computer engineering, bioengineering, bioinformatics, biomolecular engineering and bioinformatics, or network and digital technology majors",,"Prerequisite(s): satisfaction of Entry Level Writing and Composition requirements; and CSE 12 or CSE 15 or CSE 30 or BME 160 or by permission of the instructor. Enrollment is restricted to computer engineering, bioengineering, bioinformatics, biomolecular engineering and bioinformatics, or network and digital technology majors."
Disciplinary Communication (Pick 1),CSE 185S,5,Upper Division,LIST,DC,DC,False,False,True,False,DC option. DC course cannot also count as an upper-division elective. CSE 195 has additional restrictions.,"satisfaction of Entry Level Writing and Composition requirements; and CSE 12 or CSE 15 or CSE 30 or BME 160 or by permission of the instructor. Enrollment is restricted to computer engineering, bioengineering, bioinformatics, biomolecular engineering and bioinformatics, or network and digital technology majors. Credits 5",,"Prerequisite(s): satisfaction of Entry Level Writing and Composition requirements; and CSE 12 or CSE 15 or CSE 30 or BME 160 or by permission of the instructor. Enrollment is restricted to computer engineering, bioengineering, bioinformatics, biomolecular engineering and bioinformatics, or network and digital technology majors. Credits 5"
Disciplinary Communication (Pick 1),CSE 195,5,Upper Division,LIST,DC,DC,False,False,True,False,DC option. DC course cannot also count as an upper-division elective. CSE 195 has additional restrictions.,"satisfaction of the Entry Level Writing and Composition requirements. Computer Engineering majors, CSE 123A or CSE 129A",,"Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements. Computer Engineering majors, CSE 123A or CSE 129A"
Capstone / Exit Requirement Options,CMPM 172,7,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,"CMPM 171 , or by instructor permission",,"Prerequisite(s): CMPM 171 , or by instructor permission"
Capstone / Exit Requirement Options,CSE 110A,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 12 and CSE 101 ,,Prerequisite(s): CSE 12 and CSE 101 .
Capstone / Exit Requirement Options,CSE 115C,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 115B ,,Prerequisite(s): CSE 115B .
Capstone / Exit Requirement Options,CSE 115D,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 115A . General Education Code PR-E,,Prerequisite(s): CSE 115A . General Education Code PR-E
Capstone / Exit Requirement Options,CSE 134,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 120 ,,Prerequisite(s): CSE 120 .
Capstone / Exit Requirement Options,CSE 138,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 130 or CSE 131,,Prerequisite(s): CSE 130 or CSE 131.
Capstone / Exit Requirement Options,CSE 140,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 101 or CSE 101P ; and CSE 40 or STAT 132 ,,Prerequisite(s): CSE 101 or CSE 101P ; and CSE 40 or STAT 132 .
Capstone / Exit Requirement Options,CSE 143,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,"CSE 101 or CSE 101P , and CSE 107 or STAT 131 ; and CSE 40 ",,"Prerequisite(s): CSE 101 or CSE 101P , and CSE 107 or STAT 131 ; and CSE 40 ."
Capstone / Exit Requirement Options,CSE 144,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 40 or STAT 132 ; and CSE 101 or CSE 101P . Enrollment is restricted to juniors and seniors,,Prerequisite(s): CSE 40 or STAT 132 ; and CSE 101 or CSE 101P . Enrollment is restricted to juniors and seniors.
Capstone / Exit Requirement Options,CSE 145,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 15 and CSE 15L or CSE 30 or CSE 13S ; and AM 30 or MATH 22 or MATH 23A ; and STAT 5 or CSE 107 or STAT 131 ; and AM 10 or MATH 21 ; and CSE 16 or ECON 113 . Enrollment restricted to juniors and seniors. Graduate students by permission of instructor,,Prerequisite(s): CSE 15 and CSE 15L or CSE 30 or CSE 13S ; and AM 30 or MATH 22 or MATH 23A ; and STAT 5 or CSE 107 or STAT 131 ; and AM 10 or MATH 21 ; and CSE 16 or ECON 113 . Enrollment restricted to juniors and seniors. Graduate students by permission of instructor.
Capstone / Exit Requirement Options,CSE 156,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 150 and CSE 101 . Concurrent enrollment in course CSE 156L is required,,",Prerequisites: CSE 150 and CSE 101 . Concurrent enrollment in course CSE 156L is required."
Capstone / Exit Requirement Options,CSE 156L,2,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 150 and CSE 101 . Concurrent enrollment in CSE 156 is required,,Prerequisites: CSE 150 and CSE 101 . Concurrent enrollment in CSE 156 is required.
Capstone / Exit Requirement Options,CSE 157,7,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 121 and CSE 150 ,,Prerequisite(s): CSE 121 and CSE 150 .
Capstone / Exit Requirement Options,CSE 160,7,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 101 and MATH 21 or AM 10 ,,Prerequisite(s): CSE 101 and MATH 21 or AM 10 .
Capstone / Exit Requirement Options,CSE 161,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 160 or equivalent. Concurrent enrollment in CSE 161L is required,,Prerequisite(s): CSE 160 or equivalent. Concurrent enrollment in CSE 161L is required.
Capstone / Exit Requirement Options,CSE 161L,2,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,Concurrent enrollment in CSE 161 is required,,Concurrent enrollment in CSE 161 is required.
Capstone / Exit Requirement Options,CSE 162,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 160 or equivalent. Concurrent enrollment in CSE 162L is required,,Prerequisite(s): CSE 160 or equivalent. Concurrent enrollment in CSE 162L is required.
Capstone / Exit Requirement Options,CSE 162L,2,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,concurrent enrollment in CSE 162 is required,,Prerequisite(s): concurrent enrollment in CSE 162 is required.
Capstone / Exit Requirement Options,CSE 163,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 101 ,,Prerequisite(s): CSE 101 .
Capstone / Exit Requirement Options,CSE 168,7,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,"CSE 160 . Some knowledge of mobile platforms (e.g., CSE 118 or CSE 167 ) is helpful, but not required",,"Prerequisite(s): CSE 160 . Some knowledge of mobile platforms (e.g., CSE 118 or CSE 167 ) is helpful, but not required."
Capstone / Exit Requirement Options,CSE 181,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 180 and CSE 130 ,,Prerequisite(s): CSE 180 and CSE 130 .
Capstone / Exit Requirement Options,CSE 183,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,"CSE 15 and CSE 15L, or CMPM 35 , or CSE 101 . General Education Code PR-E",,"Prerequisite(s): CSE 15 and CSE 15L, or CMPM 35 , or CSE 101 . General Education Code PR-E"
Capstone / Exit Requirement Options,CSE 184,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 101 ,,Prerequisite(s): CSE 101 .
Capstone / Exit Requirement Options,CSE 187,5,Upper Division,LIST,CAPSTONE_EXIT,EXIT,False,True,False,False,Capstone option for Exit Requirement (Exit A).,CSE 186 . Enrollment is restricted to juniors and seniors. General Education Code PR-E,,Prerequisite(s): CSE 186 . Enrollment is restricted to juniors and seniors. General Education Code PR-E
Electives — Explicit Allowed List (E4),ARTG 118,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,Enrollment is restricted to junior and senior art and design: games and playable media majors and proposed majors. Repeatable for credit Yes,,Enrollment is restricted to junior and senior art and design: games and playable media majors and proposed majors. Repeatable for credit Yes
Electives — Explicit Allowed List (E4),CSE 109,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,PHYS 116A or MATH 21 or AM 10 . Enrollment is restricted to juniors and seniors. Credits 5 | PHYS 116A or MATH 21 or AM 10. Enrollment is restricted to juniors and seniors,,PHYS 116A or MATH 21 or AM 10 . Enrollment is restricted to juniors and seniors. Credits 5 | PHYS 116A or MATH 21 or AM 10. Enrollment is restricted to juniors and seniors.
Electives — Explicit Allowed List (E4),EART 124,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,MATH 11B or MATH 19B and PHYS 6B or PHYS 5B ,,Prerequisite(s): MATH 11B or MATH 19B and PHYS 6B or PHYS 5B .
Electives — Explicit Allowed List (E4),EART 125,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,,,
Electives — Explicit Allowed List (E4),EART 172,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,PHYS 107 or AM 107 ; MATH 22 or MATH 23B recommended. Credits 5,,Prerequisite(s): PHYS 107 or AM 107 ; MATH 22 or MATH 23B recommended. Credits 5 | Prerequisite(s): PHYS 107; MATH 22 or MATH 23B recommended.
Electives — Explicit Allowed List (E4),ECON 100M,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,ECON 1 and ECON 2 ; and AM 11B or ECON 11B or MATH 22 or MATH 23A ,,Prerequisite(s): ECON 1 and ECON 2 ; and AM 11B or ECON 11B or MATH 22 or MATH 23A .
Electives — Explicit Allowed List (E4),ECON 100N,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,ECON 1 and ECON 2 ; and AM 11B or ECON 11B or MATH 22 or MATH 23A ,,Prerequisite(s): ECON 1 and ECON 2 ; and AM 11B or ECON 11B or MATH 22 or MATH 23A .
Electives — Explicit Allowed List (E4),ECON 101,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,"ECON 100A or ECON 100M ; and ECON 113 . Quarter offered Fall, Spring, Summer",,"Prerequisite(s): ECON 100A or ECON 100M ; and ECON 113 . Quarter offered Fall, Spring, Summer"
Electives — Explicit Allowed List (E4),ENVS 115A,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,"Previous or concurrent enrollment in ENVS 115L and ENVS 100 and ENVS 100L , or permission of instructor. Course in computer science, Earth science, math, or geography recommended. Quarter offered Fall",,"Prerequisite(s): Previous or concurrent enrollment in ENVS 115L and ENVS 100 and ENVS 100L , or permission of instructor. Course in computer science, Earth science, math, or geography recommended. Quarter offered Fall"
Electives — Explicit Allowed List (E4),ENVS 115L,2,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,"Concurrent enrollment in ENVS 115A , or ENVS 115B , or ENVS 115C is required. Repeatable for credit Yes",,"Prerequisite(s): Concurrent enrollment in ENVS 115A , or ENVS 115B , or ENVS 115C is required. Repeatable for credit Yes"
Electives — Explicit Allowed List (E4),FILM 170A,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,FILM 20C or CSE 101 or CSE 111 . General Education Code PR-C,,Prerequisite(s): FILM 20C or CSE 101 or CSE 111 . General Education Code PR-C
Electives — Explicit Allowed List (E4),LING 112,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,satisfaction of the Entry Level Writing and Composition requirements. General Education Code MF,,Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements. General Education Code MF
Electives — Explicit Allowed List (E4),LING 113,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,"LING 53 , and LING 111 or LING 112 . Quarter offered Spring",,"Prerequisite(s): LING 53 , and LING 111 or LING 112 . Quarter offered Spring"
Electives — Explicit Allowed List (E4),LING 118,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,LING 116,,Prerequisite(s): LING 116
Electives — Explicit Allowed List (E4),LING 125,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,LING 113 or LING 116 ,,Prerequisite(s): LING 113 or LING 116 .
Electives — Explicit Allowed List (E4),MATH 110,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,MATH 100 or CSE 101 ,,Prerequisite(s): MATH 100 or CSE 101 .
Electives — Explicit Allowed List (E4),MATH 115,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,MATH 21 or AM 10 and either MATH 100 or CSE 101 ,,Prerequisite(s): MATH 21 or AM 10 and either MATH 100 or CSE 101 .
Electives — Explicit Allowed List (E4),MATH 116,5,Upper Division,LIST,ELECTIVE_EXPLICIT_LIST,ELECTIVES,False,False,False,False,Allowed elective via explicit list (E4).,"MATH 100 or CSE 101 . Enrollment is restricted to sophomores juniors, and seniors. Familiarity with basic group theory is recommended",,"Prerequisite(s): MATH 100 or CSE 101 . Enrollment is restricted to sophomores juniors, and seniors. Familiarity with basic group theory is recommended."
